your name. (movie)	Amuse
(The) Dog of Flanders (movie)	Fuji Pacific Music Publisher
Mahō Sensei Negima!: Mō Hitotsu no Sekai (OAV)	unknown
Gintama: The Movie	Aniplex
Hozuki's Coolheadedness (TV 2)	unknown
Lunar Legend Tsukihime (TV)	Geneon Entertainment, Inc.
Zan Sayonara Zetsubō Sensei (TV)	unknown
Rurouni Kenshin: Reflection (OAV)	SME Visual Works
Steins;Gate: The Movie - Load Region of Déjà Vu	Gaku Iwasa
Hanasaku Iroha: Home Sweet Home (movie)	Bandai Visual
Kurenai (TV)	Kurenai Production Committee
Death Parade (TV)	Madhouse
Kyousougiga (TV)	unknown
Barakamon (TV)	Atsushi Fukushi
Aggretsuko (ONA)	FANWORKS, Inc.
(The) Irresponsible Captain Tylor (TV)	Akira Takamura
Patema Inverted (movie)	Asmik Ace Entertainment, Inc.
Revolutionary Girl Utena (TV)	unknown
Banner of the Stars (TV)	Bandai Visual
Hidamari Sketch × Honeycomb (TV)	Aniplex
Barefoot Gen (movie)	GEN Productions
Wagnaria!!2 (TV)	Aniplex
Children Who Chase Lost Voices (movie)	CMMMY
Case Closed: The Fourteenth Target (movie)	Detective Conan Production Committee
My-HiME (TV)	Sunrise
Ghost in the Shell S.A.C. Solid State Society 3D (movie)	unknown
Yona of the Dawn (TV)	Age Global Networks
Natsume Yūjin-Chō: Itsuka Yuki no Hi ni (OAV)	unknown
Detective Conan: The Lost Ship in The Sky (movie 14)	Nippon Television Network
Sound! Euphonium (TV)	Kyoto Animation
Mirai (movie)	Chukyo TV
One Piece (TV)	Asatsu-DK
Shigofumi - Letters from the Departed (TV)	Bandai Visual
Trigun: Badlands Rumble (movie)	Flying Dog
Lucky Star (TV)	Kadokawa Entertainment
Hidamari Sketch × Hoshimittsu (TV)	Tokyo Broadcasting System
INTERSTELLA 5555: The 5tory of the 5ecret 5tar 5ystem (movie)	Toei Animation
Silver Spoon (TV 2)	Aniplex
RahXephon (TV)	Asatsu-DK
Gurren Lagann the Movie –Childhood's End-	Aniplex
My Teen Romantic Comedy SNAFU TOO! (TV)	Janice Williams
Tsukimonogatari (TV)	Aniplex
His and Her Circumstances (TV)	GAINAX
Tsukigakirei (TV)	unknown
Girls' Last Tour (TV)	unknown
